code,system
Z59.0,icd10
B83657,nonstandard
B85659,nonstandard
F84632,nonstandard
Y04543,nonstandard
B86669,nonstandard
C82670,nonstandard
G6715360,nonstandard
Y00264,nonstandard
D82641,nonstandard
L81662,nonstandard
E82666,nonstandard
Y04047,nonstandard
E83666,nonstandard
F85709,nonstandard
E84711,nonstandard
G85731,nonstandard
G85733,nonstandard
Y04629,nonstandard
E84712,nonstandard
P87662,nonstandard
Y00481,nonstandard
Y02444,nonstandard
E85752,nonstandard
Y00060,nonstandard
E85753,nonstandard
E87772,nonstandard
H82642,nonstandard
F84733,nonstandard
F84740,nonstandard
Y02674,nonstandard
G81689,nonstandard
J82217,nonstandard
L81661,nonstandard
Y00049,nonstandard
Y00054,nonstandard
Y00182,nonstandard
Y00256,nonstandard
Y01057,nonstandard
G82811,nonstandard
K84066,nonstandard
L83673,nonstandard
NRV04,nonstandard
N81655,nonstandard
N85646,nonstandard
Y00143,nonstandard
Y00056,nonstandard
Y00083,nonstandard
